Nodes,processor,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company,brand,make,model,moniker,version
4,AMD EPYC 7702 2.0 GHz,2000,8,512,1024,1024,"1,687",700,2020,amd,epyc,, 7702,,
4,AMD EPYC 7742 2.25 GHz,2250,8,512,1024,1024,"1,721",678,2020,amd,epyc,, 7742,,
1,Intel Xeon Platinum 8380HL 2.90 GHz,2900,4,112,224,768,"1,117",258,2020,intel,xeon,platinum, 8380,h,
1,Intel Xeon Platinum 8380HL 2.90 GHz,2900,8,224,448,1536,"2,148",500,2020,intel,xeon,platinum, 8380,h,
1,Intel Xeon Platinum 8380HL 2.90 GHz,2900,4,112,224,768,"1,158",254,2020,intel,xeon,platinum, 8380,h,
1,Intel Xeon Platinum 8380HL 2.90 GHz,2900,8,224,448,1536,"2,132",503,2020,intel,xeon,platinum, 8380,h,
1,AMD EPYC 7763 2.45 GHz,2450,2,128,256,256,546,120,2021,amd,epyc,, 7763,,
1,AMD EPYC 7713 2.00 GHz,2000,2,128,256,256,468,109,2021,amd,epyc,, 7713,,
1,AMD EPYC 7763 2.45 GHz,2450,1,64,128,128,272,58,2021,amd,epyc,, 7763,,
1,AMD EPYC 7763 2.45 GHz,2450,1,64,128,128,268,56.8,2021,amd,epyc,, 7763,,
3,AMD EPYC 7763 2.45 GHz,2450,6,384,768,768,"1,731",430,2021,amd,epyc,, 7763,,
2,AMD EPYC 7763 2.45 GHz,2450,4,256,512,512,"1,192",331,2021,amd,epyc,, 7763,,
3,AMD EPYC 7763 2.45 GHz,2450,6,384,768,768,"1,694",352,2021,amd,epyc,, 7763,,
2,AMD EPYC 7763 2.45 GHz,2450,4,256,512,512,"1,173",257,2021,amd,epyc,, 7763,,
4,AMD EPYC 7763 2.45 GHz,2450,8,512,1024,1024,"2,260",523,2021,amd,epyc,, 7763,,
1,AMD EPYC 7763 2.45 GHz,2450,1,64,128,128,270,53.7,2021,amd,epyc,, 7763,,
1,Intel Xeon Platinum 8380 2.30 GHz,2300,2,80,160,256,647,143,2021,intel,xeon,platinum, 8380,,
1,Intel Xeon Platinum 8380 2.30 GHz,2300,2,80,160,256,651,119,2021,intel,xeon,platinum, 8380,,
1,Intel Xeon Platinum 8380 2.30 GHz,2300,2,80,160,256,619,127,2021,intel,xeon,platinum, 8380,,
1,Intel Xeon Platinum 8380 2.30 GHz,2300,2,80,160,256,623,110,2021,intel,xeon,platinum, 8380,,
1,Intel Xeon Gold 6314U CPU @ 2.30GHz (Intel Turbo Boost Technology up to 3.4GHz),2300,1,32,64,64,299,94.1,2021,intel,xeon,gold, 6314,u,
1,Intel Xeon Gold 6314U CPU @ 2.30GHz (Intel Turbo Boost Technology up to 3.4GHz),2300,1,32,64,64,307,93.8,2021,intel,xeon,gold, 6314,u,
1,2.6 GHz AMD Opteron 2435,2600,2,12,12,16,258,120,2009,amd,opteron,, 2435,,
1,Intel Xeon E5450,3000,2,8,8,16,288,180,2007,intel,xeon,, e5450,,
1,Intel Xeon E5450,3000,2,8,8,16,269,160,2007,intel,xeon,, e5450,,
1,Intel Xeon L7345,1860,4,16,16,16,387,271,2007,intel,xeon,, l7345,,
1,Intel Xeon E5450,3000,2,8,8,16,244,123,2008,intel,xeon,, e5450,,
1,Intel Xeon L5420,2500,2,8,8,8,189,106,2008,intel,xeon,, l5420,,
1,Intel Xeon L5420,2500,2,8,8,16,233,148,2008,intel,xeon,, l5420,,
1,Intel Xeon X3360,2833,1,4,4,8,136,69.5,2008,intel,xeon,, x3360,,
1,AMD Opteron 2356,2300,2,8,8,8,299,178,2008,amd,opteron,, 2356,,
1,AMD Opteron 8384,2700,4,16,16,16,521,299,2008,amd,opteron,, 8384,,
1,AMD Opteron 2384,2700,2,8,8,8,257,147,2008,amd,opteron,, 2384,,
1,AMD Opteron 2384,2700,2,8,8,8,268,144,2009,amd,opteron,, 2384,,
1,Quad-Core AMD Opteron(r) Processor 8376 HE,2300,8,32,32,32,799,444,2009,amd,core,quad-core,  8376,he,
1,Quad-Core AMD Opteron(r) Processor 8376 HE,2300,8,32,32,32,796,427,2009,amd,core,quad-core,  8376,he,
1,Intel Xeon 5160,3000,2,4,4,8,258,172,2009,intel,xeon,, 5160,,
1,Intel Xeon L5430,2666,2,8,8,16,253,170,2009,intel,xeon,, l5430,,
1,Intel Xeon 3.8GHz,3800,2,2,4,8,394,226,2009,intel,xeon,,,,
1,Intel Xeon X5570,2933,2,8,16,8,245,88.4,2009,intel,xeon,, x5570,,
1,Quad-Core AMD Opteron(r) Processor 8381 HE,2500,8,32,32,32,793,430,2009,amd,core,quad-core,  8381,he,
1,Quad-Core AMD Opteron(r) Processor 8381 HE,2500,8,32,32,32,792,418,2009,amd,core,quad-core,  8381,he,
16,Intel Xeon L5520,2267,32,128,256,128,"2,783",802,2009,intel,xeon,, l5520,,
1,2.6 GHz AMD Opteron 2435,2600,2,12,12,16,260,124,2009,amd,opteron,, 2435,,
1,Six-Core AMD Opteron(r) Processor 8425 HE,2100,8,48,48,32,852,468,2009,amd,core,six-core,  8425,he,
4,Intel Xeon L5530,2400,8,32,64,32,664,191,2009,intel,xeon,, l5530,,
1,Intel Xeon L5530,2400,2,8,16,8,186,62,2009,intel,xeon,, l5530,,
1,Intel Xeon L5530,2400,2,8,16,8,187,63.7,2009,intel,xeon,, l5530,,
32,Intel Xeon L5520,2266,64,256,512,256,"5,547","1,696",2009,intel,xeon,, l5520,,
4,Intel Xeon L5530,2400,8,32,64,32,680,217,2010,intel,xeon,, l5530,,
1,AMD Opteron 6174,2200,2,12,24,16,271,101,2010,amd,opteron,, 6174,,
4,Intel Xeon X5670,2933,8,48,96,64,858,194,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,16,250,68.9,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,16,249,68.1,2010,intel,xeon,, x5670,,
4,Intel Xeon X5670,2933,8,48,96,64,952,219,2010,intel,xeon,, x5670,,
4,Intel Xeon X5670,2933,8,48,96,64,883,216,2010,intel,xeon,, x5670,,
4,Intel Xeon L5530,2400,8,32,64,32,656,179,2010,intel,xeon,, l5530,,
4,Intel Xeon L5640,2267,8,48,96,64,662,181,2010,intel,xeon,, l5640,,
1,Intel Xeon L5640,2266,2,12,24,16,178,54.6,2010,intel,xeon,, l5640,,
1,Intel Xeon L5640,2266,2,12,24,16,172,53.6,2010,intel,xeon,, l5640,,
4,Intel Xeon L5640,2267,8,48,96,64,660,178,2010,intel,xeon,, l5640,,
1,Intel Xeon X5675,3067,2,12,24,16,222,52.3,2011,intel,xeon,, x5675,,
8,Intel Xeon X5675,3067,16,96,192,128,"1,761",389,2011,intel,xeon,, x5675,,
1,Intel Xeon X5675,3067,2,12,24,16,216,55.6,2011,intel,xeon,, x5675,,
1,AMD Opteron 6276,2300,2,32,32,32,308,68.9,2011,amd,opteron,, 6276,,
1,AMD Opteron 6380,2500,2,32,32,64,306,66.6,2012,amd,opteron,, 6380,,
1,Intel Xeon Processor 7020,2660,4,8,16,16,833,520,2011,intel,xeon,,  7020,,
1,Intel Xeon Processor 7110M,2600,4,8,16,16,732,575,2011,intel,xeon,,  7110,m,
1,Intel Xeon Processor 3040,1860,1,2,2,4,117,86,2011,intel,xeon,,  3040,,
1,Intel Xeon Processor 3075,2660,1,2,2,4,135,93.7,2011,intel,xeon,,  3075,,
1,Intel Xeon Processor 3.4 GHz,3400,2,2,1,6,352,216,2011,intel,xeon,,,,
1,Intel Pentium D Processor 930,3000,1,2,2,4,169,105,2011,intel,pentium,,  930, d ,
1,Intel Xeon Processor E7330,2400,4,16,16,64,627,418,2011,intel,xeon,, e7330,,
1,Intel Xeon X7560,2260,4,32,64,128,"1,103",575,2011,intel,xeon,, x7560,,
1,Intel Core i3-540,3067,1,2,4,8,63.2,24.3,2011,intel,core,, i3-540,,
1,Intel Xeon X3480,3067,1,4,8,8,124,43.5,2011,intel,xeon,, x3480,,
1,Intel Xeon X3480,3067,1,4,8,8,137,51.5,2011,intel,xeon,, x3480,,
10,Intel Xeon X5675,3067,20,120,240,240,"2,799","1,278",2011,intel,xeon,, x5675,,
1,Intel Xeon X5670,2933,2,12,24,24,304,132,2011,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,24,302,136,2011,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,24,297,132,2011,intel,xeon,, x5670,,
8,Intel Xeon X5675,3067,16,96,192,192,"2,507","1,048",2011,intel,xeon,, x5675,,
40,Intel Core i7 610E,2533,40,80,160,320,"1,897",833,2011,intel,core,, i7 610,e,
1,Intel Xeon X5675,3066,2,12,24,48,293,118,2011,intel,xeon,, x5675,,
1,Intel Xeon X5675,3066,2,12,24,48,293,124,2011,intel,xeon,, x5675,,
1,Intel Xeon X5675,3066,2,12,24,48,301,125,2011,intel,xeon,, x5675,,
1,Intel Xeon E7-4870,2400,4,40,80,128,837,423,2011,intel,xeon,, e7-4870,,
1,Intel Xeon E3-1280,3500,1,4,8,8,114,37.6,2011,intel,xeon,, e3-1280,,
1,Intel Xeon E3-1220,3100,1,4,4,8,92.8,22.4,2011,intel,xeon,, e3-1220,,
1,Intel Xeon E3-1280,3500,1,4,8,8,98.4,24.2,2011,intel,xeon,, e3-1280,,
8,Intel Xeon processor E7-8870,2400,16,160,320,256,"3,948","2,024",2011,intel,xeon,, e7-8870,,
1,Intel Xeon E5-2470,2300,2,16,32,32,294,80.6,2012,intel,xeon,, e5-2470,,
1,Intel Xeon E5-2670,2600,2,16,32,32,337,99.3,2012,intel,xeon,, e5-2670,,
1,Intel Xeon E5-2670,2600,2,16,32,32,325,104,2012,intel,xeon,, e5-2670,,
1,Intel Xeon E5-2470,2300,2,16,32,32,297,92.9,2012,intel,xeon,, e5-2470,,
1,Intel Xeon E5-2470,2300,1,8,16,16,171,58.2,2012,intel,xeon,, e5-2470,,
1,Intel Xeon E5-2470,2300,2,16,32,32,286,88.9,2012,intel,xeon,, e5-2470,,
1,Intel Xeon E5-2470,2300,1,8,16,16,156,52.7,2012,intel,xeon,, e5-2470,,
1,Intel Xeon E3-1280v2,3600,1,4,8,8,94,45.8,2013,intel,xeon,, e3-1280,,v2
1,Intel Xeon E3-1280v2,3600,1,4,8,8,85.2,37.2,2013,intel,xeon,, e3-1280,,v2
1,Intel Xeon E3-1220v2 (Intel Turbo Boost Technology up to 3.50 GHz),3100,1,4,4,8,69.7,36.6,2013,intel,xeon,, e3-1220,,v2
4,Intel Xeon X3480,3067,4,16,32,32,470,109,2010,intel,xeon,, x3480,,
4,Intel Xeon X3470,2933,4,16,32,32,472,109,2010,intel,xeon,, x3470,,
2,Intel Xeon X5670,2930,4,24,48,24,449,109,2011,intel,xeon,, x5670,,
2,Intel Xeon X5675,3067,4,24,48,32,463,108,2011,intel,xeon,, x5675,,
1,Intel Xeon L5640,2266,2,12,24,16,164,51,2011,intel,xeon,, l5640,,
1,Intel Xeon E5-2660,2200,2,16,32,32,257,59.7,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2650L,1800,2,16,32,32,178,57.5,2012,intel,xeon,, e5-2650,l,
1,Intel Xeon E5-2670,2600,2,16,32,32,282,55.6,2012,intel,xeon,, e5-2670,,
1,Intel Xeon E5-2650L,1800,2,16,32,32,170,55.3,2012,intel,xeon,, e5-2650,l,
2,Intel Xeon E5-2650L,1800,4,32,64,64,386,142,2012,intel,xeon,, e5-2650,l,
1,Intel Xeon E5-2660,2200,2,16,32,32,243,54.7,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660,2200,2,16,32,48,240,52.3,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660,2200,2,16,32,48,239,51.6,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660,2200,2,16,32,16,239,54,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2650L,1800,2,16,32,16,161,52.2,2012,intel,xeon,, e5-2650,l,
1,Intel Xeon E5-2670,2600,2,16,32,16,279,54.8,2012,intel,xeon,, e5-2670,,
1,Intel Xeon E5-2450L,1800,2,16,32,16,167,54,2012,intel,xeon,, e5-2450,l,
1,Intel Xeon E5-2470,2300,2,16,32,16,249,53,2012,intel,xeon,, e5-2470,,
1,Intel Xeon E5-2450,2100,2,16,32,16,231,53.4,2012,intel,xeon,, e5-2450,,
1,Intel Xeon E5-2440,2400,2,12,24,16,207,55.1,2012,intel,xeon,, e5-2440,,
4,Intel Xeon E5-2470,2300,8,64,128,64,"1,079",180,2012,intel,xeon,, e5-2470,,
1,Intel Xeon E5-4640,2400,4,32,64,48,428,92.3,2012,intel,xeon,, e5-4640,,
1,Intel Xeon E5-4640,2400,4,32,64,48,430,92.7,2012,intel,xeon,, e5-4640,,
1,Intel Xeon E5-2630,2300,2,12,24,32,205,56.2,2012,intel,xeon,, e5-2630,,
1,Intel Xeon E5-2665,2400,2,16,32,32,275,56.2,2012,intel,xeon,, e5-2665,,
1,Intel Xeon E5-2640,2500,2,12,24,32,231,57,2012,intel,xeon,, e5-2640,,
3,Intel Xeon E5-4640,2400,12,96,192,96,"1,253",283,2012,intel,xeon,, e5-4640,,
1,Intel Xeon E5-2470,2300,2,16,32,24,254,53.9,2012,intel,xeon,, e5-2470,,
4,Intel Xeon E5-2660,2200,8,64,128,64,"1,003",238,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2470,2300,2,16,32,24,241,51,2012,intel,xeon,, e5-2470,,
1,Intel Xeon E5-2680,2700,2,16,32,24,236,66.8,2012,intel,xeon,, e5-2680,,
1,Intel Xeon E5-2660,2200,2,16,32,24,239,51.5,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660,2200,2,16,32,16,231,52.4,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2650,2000,2,16,32,24,207,55.3,2013,intel,xeon,, e5-2650,,
1,Intel Xeon E5-4607,2200,4,24,48,60,324,89.6,2013,intel,xeon,, e5-4607,,
1,Intel Xeon E5-2660V2,2200,2,20,40,24,202,52,2013,intel,xeon,, e5-2660,,v2
6,Intel Xeon E5-2660 v2,2200,12,120,240,144,"1,310",334,2013,intel,xeon,, e5-2660,, v2
8,Intel Xeon E5-2660 v2,2200,16,160,320,192,"1,732",417,2013,intel,xeon,, e5-2660,, v2
1,Intel Xeon E5-2609,2400,2,8,8,48,137,68.7,2014,intel,xeon,, e5-2609,,
1,Intel Xeon E5-2699 v3,2300,2,36,72,64,266,44.8,2015,intel,xeon,, e5-2699,, v3
1,Intel Xeon E5-2698 V4,2200,2,40,80,64,329,43.5,2016,intel,xeon,, e5-2698,, v4
4,Intel Xeon E5-2698 V4,2200,8,160,320,256,"1,419",217,2016,intel,xeon,, e5-2698,, v4
8,Intel Xeon E5-2683 V4,2100,16,256,512,4096,"3,868","1,080",2016,intel,xeon,, e5-2683,, v4
10,Intel Xeon E5-2683 V4,2100,20,320,640,5120,"4,425","1,250",2016,intel,xeon,, e5-2683,, v4
4,Intel Xeon E5-2699 v4,2200,8,176,352,256,"1,322",232,2017,intel,xeon,, e5-2699,, v4
1,Intel Xeon Platinum 8176,2100,2,56,112,192,461,49.6,2017,intel,xeon,platinum, 8176,,
1,Intel Xeon Platinum 8180,2500,2,56,112,192,423,48.9,2017,intel,xeon,platinum, 8180,,
1,Intel Xeon Platinum 8180,2500,2,56,112,192,437,50.3,2018,intel,xeon,platinum, 8180,,
1,Intel Xeon Platinum 8280,2700,2,56,112,192,415,49.9,2019,intel,xeon,platinum, 8280,,
1,Intel Xeon Platinum 8280,2700,2,56,112,192,414,50,2019,intel,xeon,platinum, 8280,,
1,Intel Xeon Platinum 8280,2700,2,56,112,192,419,52.2,2019,intel,xeon,platinum, 8280,,
1,Intel Xeon Platinum 8280,2700,2,56,112,192,422,51.5,2019,intel,xeon,platinum, 8280,,
1,Intel Xeon Platinum 8280,2700,2,56,112,192,421,51.7,2019,intel,xeon,platinum, 8280,,
1,Intel Xeon Platinum 8280,2700,2,56,112,192,414,50.3,2019,intel,xeon,platinum, 8280,,
1,Intel Xeon E5462,2800,2,8,8,16,252,130,2008,intel,xeon,, e5462,,
1,Intel Xeon X3360,2833,1,4,4,4,115,57.5,2008,intel,xeon,, x3360,,
1,Intel X3350,2666,1,4,4,4,119,68.9,2008,intel,,, x3350,,
1,Intel Xeon X3360,2833,1,4,4,4,126,71.7,2008,intel,xeon,, x3360,,
1,Intel Xeon X3360,2830,1,4,4,4,127,70,2008,intel,xeon,, x3360,,
1,Intel Xeon X3360,2830,1,4,4,4,125,65.9,2008,intel,xeon,, x3360,,
1,Intel Xeon X3360,2833,1,4,4,4,119,56.7,2008,intel,xeon,, x3360,,
1,Intel Xeon X5570,2933,2,8,16,8,244,81.4,2009,intel,xeon,, x5570,,
1,Intel Xeon X5570,2933,2,8,16,8,236,72.2,2009,intel,xeon,, x5570,,
1,Intel Xeon X5570,2933,2,8,16,8,244,74.3,2009,intel,xeon,, x5570,,
2,Intel Xeon X5570,2933,4,16,32,24,475,116,2009,intel,xeon,, x5570,,
1,Intel Xeon X5570,2933,2,8,16,8,243,74.1,2009,intel,xeon,, x5570,,
1,Intel Xeon X5570,2933,2,8,16,8,237,72.5,2009,intel,xeon,, x5570,,
1,Intel Xeon E5540,2533,2,8,16,8,223,70.9,2009,intel,xeon,, e5540,,
2,Intel Xeon L5530,2400,4,16,32,16,339,98.9,2009,intel,xeon,, l5530,,
1,Intel Xeon X3470,2933,1,4,8,8,115,43,2009,intel,xeon,, x3470,,
1,Intel Xeon X3470,2933,1,4,8,8,118,45.8,2009,intel,xeon,, x3470,,
1,Intel Xeon L5530,2400,2,8,16,8,179,65.4,2009,intel,xeon,, l5530,,
1,Intel Xeon L5530,2400,2,8,16,8,180,65.8,2009,intel,xeon,, l5530,,
1,Intel Xeon X3470,2933,1,4,8,8,115,45.4,2009,intel,xeon,, x3470,,
1,Intel Xeon X3470,2933,1,4,8,8,113,41.6,2009,intel,xeon,, x3470,,
1,Intel Xeon E5540,2533,2,8,16,8,218,67,2009,intel,xeon,, e5540,,
2,Intel Xeon X5670,2933,4,24,48,24,475,101,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,258,69.2,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,238,66.3,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,247,66,2010,intel,xeon,, x5670,,
2,Intel Xeon L5640,2267,4,24,48,24,341,92.7,2010,intel,xeon,, l5640,,
1,Intel Xeon X5670,2933,2,12,24,12,236,64,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,259,84.6,2010,intel,xeon,, x5670,,
1,Intel Xeon X3480,3067,1,4,8,8,119,45,2010,intel,xeon,, x3480,,
1,Intel Xeon X3480,3067,1,4,8,8,113,42.3,2010,intel,xeon,, x3480,,
1,Intel Xeon X5675,3067,2,12,24,12,231,63.9,2011,intel,xeon,, x5675,,
1,Intel Xeon X5675,3067,2,12,24,12,251,80.2,2011,intel,xeon,, x5675,,
1,Intel Xeon X5675,3067,2,12,24,12,246,63.2,2011,intel,xeon,, x5675,,
1,Intel Xeon X5675,3067,2,12,24,16,218,56.1,2011,intel,xeon,, x5675,,
1,Intel Xeon X5675,3067,2,12,24,16,222,58.4,2011,intel,xeon,, x5675,,
1,AMD Opteron 6276 (2.30 GHz),2300,4,64,64,64,580,122,2011,amd,opteron,, 6276,,
1,Intel Xeon E5-2680,2700,2,16,32,24,247,56.6,2012,intel,xeon,, e5-2680,,
2,Intel Xeon E5-2660,2200,4,32,64,48,379,96.5,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660,2200,2,16,32,24,196,56.1,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660,2200,2,16,32,16,190,56.5,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2470,2300,2,16,32,24,259,52.1,2012,intel,xeon,, e5-2470,,
7,Intel Xeon E5-4640 (Intel Turbo Boost Technology up to 2.80 GHz),2400,28,224,448,336,"3,331",812,2012,intel,xeon,, e5-4640,,
2,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,4,32,64,48,507,99.1,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,262,57.2,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,256,57.3,2012,intel,xeon,, e5-2660,,
